location_name,sex_name,measure_name,start_year,end_year,joinpoint_count,joinpoint_years,selection_method,selected_bic,candidate_bic_0_joinpoints,candidate_bic_1_joinpoint,candidate_bic_2_joinpoints,aapc,observed_endpoint_aapc,permutation_p_0_vs_1,permutation_p_1_vs_2,aapc_lower_model_ci,aapc_upper_model_ci,formal_inference_performed,model_label,inference_note,permutations,lag1_residual_autocorrelation,durbin_watson,material_residual_autocorrelation
China,Female,DALYs,1990,2023,1,1998,minimum BIC; breakpoint location counted in penalty; descriptive only,-470.47964452471626,-432.8536102259033,-470.47964452471626,-468.46751528870925,0.04781272935172609,0.040168676292307026,,,,,False,descriptive BIC-selected segmented log-linear curve; not Joinpoint,Descriptive analysis of annual GBD posterior means. No hypothesis test or confidence interval is reported because posterior draws and cross-year/cross-stratum correlations are unavailable.,0,0.2946776232106195,1.1516899953807866,False
China,Female,Incidence,1990,2023,2,"2004,2015",minimum BIC; breakpoint location counted in penalty; descriptive only,-487.8021425024509,-412.2339909698584,-449.66794180453246,-487.8021425024509,0.012491482494536577,0.012652915545241505,,,,,False,descriptive BIC-selected segmented log-linear curve; not Joinpoint,Descriptive analysis of annual GBD posterior means. No hypothesis test or confidence interval is reported because posterior draws and cross-year/cross-stratum correlations are unavailable.,0,0.7497539230936762,0.43375513780389524,True
China,Female,Prevalence,1990,2023,1,2019,minimum BIC; breakpoint location counted in penalty; descriptive only,-491.1910283607636,-481.76135113925847,-491.1910283607636,-487.00687999556067,0.023523613815101818,0.02136435929669389,,,,,False,descriptive BIC-selected segmented log-linear curve; not Joinpoint,Descriptive analysis of annual GBD posterior means. No hypothesis test or confidence interval is reported because posterior draws and cross-year/cross-stratum correlations are unavailable.,0,0.7978899211260042,0.3964236354279692,True
China,Male,DALYs,1990,2023,2,"1995,1999",minimum BIC; breakpoint location counted in penalty; descriptive only,-445.71732520601086,-429.2591815318389,-440.6961052096915,-445.71732520601086,0.036336135652170753,0.02753469775875761,,,,,False,descriptive BIC-selected segmented log-linear curve; not Joinpoint,Descriptive analysis of annual GBD posterior means. No hypothesis test or confidence interval is reported because posterior draws and cross-year/cross-stratum correlations are unavailable.,0,0.6619448472102317,0.6053711800494888,True
China,Male,Incidence,1990,2023,1,2006,minimum BIC; breakpoint location counted in penalty; descriptive only,-462.13279097253286,-425.48300231518635,-462.13279097253286,-461.896258110025,-0.0014346525525010811,-0.0011590717934439887,,,,,False,descriptive BIC-selected segmented log-linear curve; not Joinpoint,Descriptive analysis of annual GBD posterior means. No hypothesis test or confidence interval is reported because posterior draws and cross-year/cross-stratum correlations are unavailable.,0,0.7693196038549742,0.42741714016288485,True
China,Male,Prevalence,1990,2023,2,"2003,2017",minimum BIC; breakpoint location counted in penalty; descriptive only,-460.67334778501754,-441.33977344017353,-457.32292954349344,-460.67334778501754,0.015143578277454495,0.018424448213827382,,,,,False,descriptive BIC-selected segmented log-linear curve; not Joinpoint,Descriptive analysis of annual GBD posterior means. No hypothesis test or confidence interval is reported because posterior draws and cross-year/cross-stratum correlations are unavailable.,0,0.7262008727148906,0.468563222220003,True
United States of America,Female,DALYs,1990,2023,2,"2010,2015",minimum BIC; breakpoint location counted in penalty; descriptive only,-386.51624029168454,-267.3581854363089,-320.0697711849081,-386.51624029168454,-0.24909882956674068,-0.25309163775106835,,,,,False,descriptive BIC-selected segmented log-linear curve; not Joinpoint,Descriptive analysis of annual GBD posterior means. No hypothesis test or confidence interval is reported because posterior draws and cross-year/cross-stratum correlations are unavailable.,0,0.6416458320313556,0.6823493553617179,True
United States of America,Female,Incidence,1990,2023,2,"2010,2015",minimum BIC; breakpoint location counted in penalty; descriptive only,-372.2167655546589,-287.48809395112164,-319.9488795851035,-372.2167655546589,-0.209658563740156,-0.19333647228081396,,,,,False,descriptive BIC-selected segmented log-linear curve; not Joinpoint,Descriptive analysis of annual GBD posterior means. No hypothesis test or confidence interval is reported because posterior draws and cross-year/cross-stratum correlations are unavailable.,0,0.7088075222512018,0.553161729355751,True
United States of America,Female,Prevalence,1990,2023,2,"2010,2015",minimum BIC; breakpoint location counted in penalty; descriptive only,-388.9015473366493,-277.1379056158322,-313.0452552304656,-388.9015473366493,-0.2301096494965016,-0.23053125061515134,,,,,False,descriptive BIC-selected segmented log-linear curve; not Joinpoint,Descriptive analysis of annual GBD posterior means. No hypothesis test or confidence interval is reported because posterior draws and cross-year/cross-stratum correlations are unavailable.,0,0.6684306816533776,0.6398849982331872,True
United States of America,Male,DALYs,1990,2023,2,"2009,2017",minimum BIC; breakpoint location counted in penalty; descriptive only,-416.9349580133078,-316.8158369362457,-384.7345885155947,-416.9349580133078,-0.10908787107943851,-0.12128474460250116,,,,,False,descriptive BIC-selected segmented log-linear curve; not Joinpoint,Descriptive analysis of annual GBD posterior means. No hypothesis test or confidence interval is reported because posterior draws and cross-year/cross-stratum correlations are unavailable.,0,-0.0021817328694611923,1.886904151760632,False
