location_name,sex_name,measure_name,start_year,end_year,joinpoint_count,joinpoint_years,selection_method,selected_bic,candidate_bic_0_joinpoints,candidate_bic_1_joinpoint,candidate_bic_2_joinpoints,aapc,observed_endpoint_aapc,permutation_p_0_vs_1,permutation_p_1_vs_2,aapc_lower_model_ci,aapc_upper_model_ci,formal_inference_performed,model_label,inference_note,permutations,lag1_residual_autocorrelation,durbin_watson,material_residual_autocorrelation
China,Female,DALYs,1990,2019,2,"1998,2015",minimum BIC; breakpoint location counted in penalty; descriptive only,-437.62842649865195,-386.8755843479446,-429.76828841112916,-437.62842649865195,0.05594213393158576,0.05716293187472132,,,,,False,descriptive BIC-selected segmented log-linear curve; not Joinpoint,Descriptive analysis of annual GBD posterior means. No hypothesis test or confidence interval is reported because posterior draws and cross-year/cross-stratum correlations are unavailable.,0,0.20974676313264146,1.5704018459042925,False
China,Female,Incidence,1990,2019,2,"2005,2015",minimum BIC; breakpoint location counted in penalty; descriptive only,-438.6986665849295,-359.8669194550678,-408.40303192452825,-438.6986665849295,0.012203683673961407,0.017218985106115525,,,,,False,descriptive BIC-selected segmented log-linear curve; not Joinpoint,Descriptive analysis of annual GBD posterior means. No hypothesis test or confidence interval is reported because posterior draws and cross-year/cross-stratum correlations are unavailable.,0,0.7909711608074983,0.3870545514681541,True
China,Female,Prevalence,1990,2019,2,"2000,2004",minimum BIC; breakpoint location counted in penalty; descriptive only,-457.6893471748736,-438.4924088729703,-433.7372263532868,-457.6893471748736,0.034273822373931395,0.030273907759603702,,,,,False,descriptive BIC-selected segmented log-linear curve; not Joinpoint,Descriptive analysis of annual GBD posterior means. No hypothesis test or confidence interval is reported because posterior draws and cross-year/cross-stratum correlations are unavailable.,0,0.8097965882582513,0.356512774885453,True
China,Male,DALYs,1990,2019,2,"1995,1999",minimum BIC; breakpoint location counted in penalty; descriptive only,-403.5676453233403,-379.9148125102041,-392.74645937066526,-403.5676453233403,0.039192058316217526,0.04612880070042902,,,,,False,descriptive BIC-selected segmented log-linear curve; not Joinpoint,Descriptive analysis of annual GBD posterior means. No hypothesis test or confidence interval is reported because posterior draws and cross-year/cross-stratum correlations are unavailable.,0,0.7083064872019345,0.5481326894047619,True
China,Male,Incidence,1990,2019,2,"2008,2015",minimum BIC; breakpoint location counted in penalty; descriptive only,-417.00836691287066,-378.78854622892607,-410.50921048603,-417.00836691287066,0.005838512777356364,0.0109428371174225,,,,,False,descriptive BIC-selected segmented log-linear curve; not Joinpoint,Descriptive analysis of annual GBD posterior means. No hypothesis test or confidence interval is reported because posterior draws and cross-year/cross-stratum correlations are unavailable.,0,0.7655374275845973,0.44076438197793905,True
China,Male,Prevalence,1990,2019,2,"1995,1999",minimum BIC; breakpoint location counted in penalty; descriptive only,-441.5535920955351,-406.8994227442886,-407.9359114613331,-441.5535920955351,0.037974973351029284,0.03460742576084641,,,,,False,descriptive BIC-selected segmented log-linear curve; not Joinpoint,Descriptive analysis of annual GBD posterior means. No hypothesis test or confidence interval is reported because posterior draws and cross-year/cross-stratum correlations are unavailable.,0,0.7767602183110248,0.3994818627329345,True
United States of America,Female,DALYs,1990,2019,2,"2010,2015",minimum BIC; breakpoint location counted in penalty; descriptive only,-338.23221169472083,-235.79503578213595,-301.52212086038145,-338.23221169472083,-0.25086040930576425,-0.2648035285743311,,,,,False,descriptive BIC-selected segmented log-linear curve; not Joinpoint,Descriptive analysis of annual GBD posterior means. No hypothesis test or confidence interval is reported because posterior draws and cross-year/cross-stratum correlations are unavailable.,0,0.6642700628294009,0.6499041601035854,True
United States of America,Female,Incidence,1990,2019,2,"2010,2015",minimum BIC; breakpoint location counted in penalty; descriptive only,-329.51929519223546,-251.4582760933446,-307.793098972933,-329.51929519223546,-0.23629340308634061,-0.23794313452593086,,,,,False,descriptive BIC-selected segmented log-linear curve; not Joinpoint,Descriptive analysis of annual GBD posterior means. No hypothesis test or confidence interval is reported because posterior draws and cross-year/cross-stratum correlations are unavailable.,0,0.779604821062679,0.44054207859937045,True
United States of America,Female,Prevalence,1990,2019,2,"2010,2015",minimum BIC; breakpoint location counted in penalty; descriptive only,-340.32099073893374,-241.93388340672337,-302.4851051440082,-340.32099073893374,-0.25814635345758896,-0.26735253834876405,,,,,False,descriptive BIC-selected segmented log-linear curve; not Joinpoint,Descriptive analysis of annual GBD posterior means. No hypothesis test or confidence interval is reported because posterior draws and cross-year/cross-stratum correlations are unavailable.,0,0.6865464593969531,0.6163520273175375,True
United States of America,Male,DALYs,1990,2019,2,"2010,2014",minimum BIC; breakpoint location counted in penalty; descriptive only,-406.57790315519486,-282.22934448639296,-390.5282955906776,-406.57790315519486,-0.11662992480722112,-0.11696595572768809,,,,,False,descriptive BIC-selected segmented log-linear curve; not Joinpoint,Descriptive analysis of annual GBD posterior means. No hypothesis test or confidence interval is reported because posterior draws and cross-year/cross-stratum correlations are unavailable.,0,0.5729877067666365,0.8428160861310218,True
