location_name,sex_name,measure_name,primary_aapc,ui_weighted_fixed_knot_aapc,difference,interpretation
China,Female,DALYs,0.04781272935172609,0.047851547109911685,3.881775818559419e-05,Sensitivity only; GBD UIs are not independent sampling SEs.
China,Female,Incidence,0.012491482494536577,0.012498635077640152,7.152583103575694e-06,Sensitivity only; GBD UIs are not independent sampling SEs.
China,Female,Prevalence,0.023523613815101818,0.023501180305629532,-2.2433509472286062e-05,Sensitivity only; GBD UIs are not independent sampling SEs.
China,Male,DALYs,0.036336135652170753,0.03636148369619008,2.5348044019324334e-05,Sensitivity only; GBD UIs are not independent sampling SEs.
China,Male,Incidence,-0.0014346525525010811,-0.0014894724350233979,-5.481988252231673e-05,Sensitivity only; GBD UIs are not independent sampling SEs.
China,Male,Prevalence,0.015143578277454495,0.015096114570400943,-4.7463707053552184e-05,Sensitivity only; GBD UIs are not independent sampling SEs.
United States of America,Female,DALYs,-0.24909882956674068,-0.24896426287859263,0.00013456668814804118,Sensitivity only; GBD UIs are not independent sampling SEs.
United States of America,Female,Incidence,-0.209658563740156,-0.20970323965279203,-4.4675912636016335e-05,Sensitivity only; GBD UIs are not independent sampling SEs.
United States of America,Female,Prevalence,-0.2301096494965016,-0.23011318197810882,-3.532481607226856e-06,Sensitivity only; GBD UIs are not independent sampling SEs.
United States of America,Male,DALYs,-0.10908787107943851,-0.10934760800539456,-0.0002597369259560445,Sensitivity only; GBD UIs are not independent sampling SEs.
United States of America,Male,Incidence,-0.07561565297766748,-0.0756011840341797,1.4468943487777608e-05,Sensitivity only; GBD UIs are not independent sampling SEs.
United States of America,Male,Prevalence,-0.07924543417238139,-0.07951973563052883,-0.0002743014581474412,Sensitivity only; GBD UIs are not independent sampling SEs.
